
2022/11/13 (23:11:48) | ERROR: Stall in Runner thread, restarting!

2022/11/14 (19:26:43) | ===> btop++ v.1.2.13
2022/11/14 (19:26:43) | WARNING: Failed to join _runner thread on exit!

2022/11/15 (01:16:03) | ===> btop++ v.1.2.13
2022/11/15 (01:16:03) | WARNING: Failed to join _runner thread on exit!

2022/11/15 (07:32:02) | ===> btop++ v.1.2.13
2022/11/15 (07:32:02) | WARNING: Failed to join _runner thread on exit!

2022/11/16 (00:01:40) | ===> btop++ v.1.2.13
2022/11/16 (00:01:40) | WARNING: Failed to join _runner thread on exit!

2022/11/16 (23:41:32) | ===> btop++ v.1.2.13
2022/11/16 (23:41:32) | WARNING: Failed to join _runner thread on exit!

2022/11/18 (08:38:03) | ===> btop++ v.1.2.13
2022/11/18 (08:38:03) | WARNING: Failed to join _runner thread on exit!

2022/11/18 (08:57:04) | ===> btop++ v.1.2.13
2022/11/18 (08:57:04) | WARNING: Failed to join _runner thread on exit!

2022/11/19 (00:40:47) | ===> btop++ v.1.2.13
2022/11/19 (00:40:47) | WARNING: Failed to join _runner thread on exit!

2022/11/19 (00:47:33) | ===> btop++ v.1.2.13
2022/11/19 (00:47:33) | WARNING: Failed to join _runner thread on exit!

2022/11/19 (00:56:50) | ===> btop++ v.1.2.13
2022/11/19 (00:56:50) | WARNING: Failed to join _runner thread on exit!

2022/11/19 (09:35:13) | ===> btop++ v.1.2.13
2022/11/19 (09:35:13) | WARNING: Failed to join _runner thread on exit!

2022/11/19 (15:18:31) | ===> btop++ v.1.2.13
2022/11/19 (15:18:31) | ERROR: Stall in Runner thread, restarting!
2022/11/19 (15:18:37) | ERROR: Stall in Runner thread, restarting!
2022/11/19 (15:19:24) | ERROR: Stall in Runner thread, restarting!
2022/11/19 (15:19:30) | ERROR: Stall in Runner thread, restarting!
2022/11/19 (15:19:36) | ERROR: Stall in Runner thread, restarting!
2022/11/20 (00:47:20) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (09:15:43) | ===> btop++ v.1.2.13
2022/11/20 (09:15:43) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (23:56:18) | ===> btop++ v.1.2.13
2022/11/20 (23:56:18) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (23:56:18) | ===> btop++ v.1.2.13
2022/11/20 (23:56:18) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (23:56:50) | ===> btop++ v.1.2.13
2022/11/20 (23:56:50) | WARNING: Failed to join _runner thread on exit!

2022/11/20 (23:56:50) | ===> btop++ v.1.2.13
2022/11/20 (23:56:50) | WARNING: Failed to join _runner thread on exit!

2022/11/21 (00:05:49) | ===> btop++ v.1.2.13
2022/11/21 (00:05:49) | WARNING: Failed to join _runner thread on exit!

2022/11/21 (00:15:01) | ===> btop++ v.1.2.13
2022/11/21 (00:15:01) | WARNING: Failed to join _runner thread on exit!

2022/11/21 (23:00:52) | ===> btop++ v.1.2.13
2022/11/21 (23:00:52) | WARNING: Failed to join _runner thread on exit!

2022/11/23 (21:05:47) | ===> btop++ v.1.2.13
2022/11/23 (21:05:47) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (16:55:27) | ===> btop++ v.1.2.13
2022/11/25 (16:55:27) | WARNING: Failed to join _runner thread on exit!

2022/11/25 (17:34:56) | ===> btop++ v.1.2.13
2022/11/25 (17:34:56) | WARNING: Failed to join _runner thread on exit!

2022/11/29 (01:21:10) | ===> btop++ v.1.2.13
2022/11/29 (01:21:10) | WARNING: Failed to join _runner thread on exit!

2022/11/29 (01:31:43) | ===> btop++ v.1.2.13
2022/11/29 (01:31:43) | WARNING: Failed to join _runner thread on exit!

2022/11/29 (14:36:38) | ===> btop++ v.1.2.13
2022/11/29 (14:36:38) | WARNING: Failed to join _runner thread on exit!

2022/11/29 (21:34:50) | ===> btop++ v.1.2.13
2022/11/29 (21:34:50) | WARNING: Failed to join _runner thread on exit!

2022/12/01 (18:34:34) | ===> btop++ v.1.2.13
2022/12/01 (18:34:34) | WARNING: Failed to join _runner thread on exit!

2022/12/01 (18:41:45) | ===> btop++ v.1.2.13
2022/12/01 (18:41:45) | WARNING: Failed to join _runner thread on exit!

2022/12/02 (20:48:35) | ===> btop++ v.1.2.13
2022/12/02 (20:48:35) | WARNING: Failed to join _runner thread on exit!

2022/12/03 (01:01:04) | ===> btop++ v.1.2.13
2022/12/03 (01:01:04) | WARNING: Failed to join _runner thread on exit!

2022/12/03 (01:38:29) | ===> btop++ v.1.2.13
2022/12/03 (01:38:29) | WARNING: Failed to join _runner thread on exit!

2022/12/03 (11:11:13) | ===> btop++ v.1.2.13
2022/12/03 (11:11:13) | WARNING: Failed to join _runner thread on exit!

2022/12/05 (02:13:45) | ===> btop++ v.1.2.13
2022/12/05 (02:13:45) | WARNING: Failed to join _runner thread on exit!

2022/12/05 (13:14:51) | ===> btop++ v.1.2.13
2022/12/05 (13:14:51) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (00:30:56) | ===> btop++ v.1.2.13
2022/12/06 (00:30:56) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (00:58:06) | ===> btop++ v.1.2.13
2022/12/06 (00:58:06) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:00:00) | ===> btop++ v.1.2.13
2022/12/06 (01:00:00) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:17:24) | ===> btop++ v.1.2.13
2022/12/06 (01:17:24) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:20:20) | ===> btop++ v.1.2.13
2022/12/06 (01:20:20) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:27:52) | ===> btop++ v.1.2.13
2022/12/06 (01:27:52) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:32:42) | ===> btop++ v.1.2.13
2022/12/06 (01:32:42) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (01:33:38) | ===> btop++ v.1.2.13
2022/12/06 (01:33:38) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (14:37:35) | ===> btop++ v.1.2.13
2022/12/06 (14:37:35) | WARNING: Failed to join _runner thread on exit!

2022/12/06 (14:42:22) | ===> btop++ v.1.2.13
2022/12/06 (14:42:22) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (00:01:43) | ===> btop++ v.1.2.13
2022/12/08 (00:01:43) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (00:03:43) | ===> btop++ v.1.2.13
2022/12/08 (00:03:43) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (01:53:13) | ===> btop++ v.1.2.13
2022/12/08 (01:53:13) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (01:55:46) | ===> btop++ v.1.2.13
2022/12/08 (01:55:46) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (01:57:45) | ===> btop++ v.1.2.13
2022/12/08 (01:57:45) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (02:02:08) | ===> btop++ v.1.2.13
2022/12/08 (02:02:08) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (02:02:21) | ===> btop++ v.1.2.13
2022/12/08 (02:02:21) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (02:02:27) | ===> btop++ v.1.2.13
2022/12/08 (02:02:27) | WARNING: Failed to join _runner thread on exit!

2022/12/08 (02:05:47) | ===> btop++ v.1.2.13
2022/12/08 (02:05:47) | WARNING: Failed to join _runner thread on exit!

2022/12/09 (00:04:41) | ===> btop++ v.1.2.13
2022/12/09 (00:04:41) | WARNING: Failed to join _runner thread on exit!

2022/12/09 (16:07:21) | ===> btop++ v.1.2.13
2022/12/09 (16:07:21) | ERROR: Stall in Runner thread, restarting!
2022/12/09 (16:07:27) | ERROR: Stall in Runner thread, restarting!

2022/12/09 (21:07:33) | ===> btop++ v.1.2.13
2022/12/09 (21:07:33) | WARNING: Failed to join _runner thread on exit!

2022/12/11 (16:44:04) | ===> btop++ v.1.2.13
2022/12/11 (16:44:04) | WARNING: Failed to join _runner thread on exit!

2022/12/13 (10:44:31) | ===> btop++ v.1.2.13
2022/12/13 (10:44:31) | WARNING: Failed to join _runner thread on exit!

2022/12/13 (11:15:29) | ===> btop++ v.1.2.13
2022/12/13 (11:15:29) | WARNING: Failed to join _runner thread on exit!

2022/12/14 (19:40:55) | ===> btop++ v.1.2.13
2022/12/14 (19:40:55) | WARNING: Failed to join _runner thread on exit!

2022/12/14 (20:04:04) | ===> btop++ v.1.2.13
2022/12/14 (20:04:04) | WARNING: Failed to join _runner thread on exit!

2022/12/14 (20:05:54) | ===> btop++ v.1.2.13
2022/12/14 (20:05:54) | WARNING: Failed to join _runner thread on exit!

2022/12/14 (20:10:43) | ===> btop++ v.1.2.13
2022/12/14 (20:10:43) | WARNING: Failed to join _runner thread on exit!

2022/12/14 (20:11:43) | ===> btop++ v.1.2.13
2022/12/14 (20:11:43) | WARNING: Failed to join _runner thread on exit!

2022/12/15 (15:51:46) | ===> btop++ v.1.2.13
2022/12/15 (15:51:46) | WARNING: Failed to join _runner thread on exit!

2022/12/15 (16:36:13) | ===> btop++ v.1.2.13
2022/12/15 (16:36:13) | WARNING: Failed to join _runner thread on exit!

2022/12/15 (23:27:39) | ===> btop++ v.1.2.13
2022/12/15 (23:27:39) | WARNING: Failed to join _runner thread on exit!

2022/12/16 (22:59:13) | ===> btop++ v.1.2.13
2022/12/16 (22:59:13) | WARNING: Failed to join _runner thread on exit!

2022/12/17 (10:13:46) | ===> btop++ v.1.2.13
2022/12/17 (10:13:46) | WARNING: Failed to join _runner thread on exit!

2022/12/17 (16:39:29) | ===> btop++ v.1.2.13
2022/12/17 (16:39:30) | ERROR: Stall in Runner thread, restarting!
2022/12/17 (16:39:36) | ERROR: Stall in Runner thread, restarting!

2022/12/17 (21:15:27) | ===> btop++ v.1.2.13
2022/12/17 (21:15:27) | WARNING: Failed to join _runner thread on exit!

2022/12/19 (01:24:46) | ===> btop++ v.1.2.13
2022/12/19 (01:24:46) | WARNING: Failed to join _runner thread on exit!

2022/12/19 (18:51:14) | ===> btop++ v.1.2.13
2022/12/19 (18:51:14) | ERROR: Stall in Runner thread, restarting!

2022/12/23 (10:15:36) | ===> btop++ v.1.2.13
2022/12/23 (10:15:36) | ERROR: Stall in Runner thread, restarting!

2022/12/23 (20:55:40) | ===> btop++ v.1.2.13
2022/12/23 (20:55:40) | ERROR: Stall in Runner thread, restarting!

2022/12/24 (15:46:11) | ===> btop++ v.1.2.13
2022/12/24 (15:46:11) | ERROR: Stall in Runner thread, restarting!

2022/12/25 (23:50:29) | ===> btop++ v.1.2.13
2022/12/25 (23:50:29) | ERROR: Stall in Runner thread, restarting!

2022/12/29 (11:59:18) | ===> btop++ v.1.2.13
2022/12/29 (11:59:18) | ERROR: Stall in Runner thread, restarting!

2022/12/31 (22:36:41) | ===> btop++ v.1.2.13
2022/12/31 (22:36:41) | ERROR: Stall in Runner thread, restarting!

2023/01/11 (20:17:25) | ===> btop++ v.1.2.13
2023/01/11 (20:17:26) | ERROR: Stall in Runner thread, restarting!

2023/01/12 (16:44:21) | ===> btop++ v.1.2.13
2023/01/12 (16:44:21) | ERROR: Stall in Runner thread, restarting!
